Author (year),Country/countries,Setting,Population,Compared strategies,Included treatment,Type of economic evaluation,Model type,Perspective,Clinical outcomes,Time horizon,Discount rate,Inclusion of stochasticity,Inclusion of AMR,ICER,Currency (year),Reporting of uncertainty,Main findings,Cost-effectiveness verdict,CHEERS score,groupname,row
Nicholson (2014),UK,Hospital,"People presenting to medical admissions units, or any ward accepting acute medical admissions, with an acute exacerbation of chronic cardiopulmonary illness of ≤ 168 hours’ (7 days’) duration or an acute cardiopulmonary illness of ≤ 7 days’ duration",Point-of-care tests (POCTs) for influenza A and B and pneumococcal infection; reverse transcriptase-polymerase chain reaction (RT-PCR) tests for influenza A and B and RSV A and B; and conventional culture for these pathogens.,"Broad-spectrum antibiotics (cephalosporins, co-amoxiclav, piperacillin with tazobactam, carbapenems, quinolones, tetracyclines, cotrimoxazole, clarithromycin, azithromycin and clindamycin); narrow-spectrum antibiotics (Gram-positive antibiotics benzylpenicillin, flucloxacillin, amoxicillin (and ampicillin), erythromycin, vancomycin, rifampicin, fusidic acid, linezolid, daptomycin, gram-negative antibiotics, gentamicin and other aminoglycosides, aztreonam, trimethoprim, nitrofurantoin, anaerobic antibiotics and metronidazole).",CEA,Randomised controlled trial (RCT),Healthcare centre's perspective,"QALYs, EQ-5D; proportion of patients who are prescribed antibiotics; time to treatment",28 days,"NA",No,No,734717 per QALY,Pound Sterling (2007),"Deterministic sensitivity analysis (DSA), Table of DSA, Probabilistic sensitivity analysis (PSA), Cost-effectiveness plane of PSA, Cost-effectiveness acceptability curve(s)","The total costs and QALYs of each diagnostic strategy were similar, although, incrementally, PCR was the most cost-effective strategy. The analysis does not support routine use of point-of-care tests for either influenza or pneumococcal antigen for adults presenting with acute cardiopulmonary conditions, but suggests that conventional viral culture for clinical diagnosis should be replaced by PCR.",Cost-effective,16,trial-based analysis,34
Nshimyumukiza (2016),Canada,Outpatient clinic or emergency department,Quebec (Canada) population,Current care; potential rapid POC test,Oseltamivir,CEA,"Dynamic deterministic compartmental models, Agent-level Markov model (SPLMM)",Societal perspective,Synthesis-based estimates,1 year,"NA",Yes,No,"$7573 saved /100,000 person years and 1.92 life-years saved /100,000 person years",Canadian dollars (2011-2012),"Tornado diagram of DSA, CEAC","Considering the baseline values of sensitivity, specificity, and cost to be 74%, 99%, and $25, respectively, for a POC test; the antiviral treatment based on this test appears dominant as compared to empirical antiviral treatment based on clinical judgment.",Cost-effective,16,individual-level model,35
Oostenbrink (2002),The Netherlands,"Hospital, Pediatric Emergency Department",Children (1 month to 15 years) visiting the pediatric emergency department of a hospital with meningeal signs,"Practice a lumbar puncture, based on the characteristics of the patient’s history, physical examination and serum C-reactive protein (CRP) ; do not practice this",Antibiotics,CUA,Decision tree,Societal perspective,Hospitalizations saved,15 years,0.04,No,No,"€ 401,965 per QALY (Streptococcus pneumoniae) and €22,635 per QALY (Neisseria meningitidis)",Euros (2001),Deterministic sensitivity analysis (DSA),"Minimizing lumbar punctures and empirical treatments using a diagnostic decision rule, without missing a single case of meningitis, was a dominant strategy to actual practice.","Cost-effective, not generalizable for vaccination strategies.",17,decision tree model,36
Oostenbrink (2003),The Netherlands,Hospital,360 children from one month up to fifteen years of age visiting the emergency department of a hospital with meningeal signs between 1988 and 1998,"Diagnostic decision rule, based on a clinical score and a CSF score (cell count in cerebrospinal fluid) for lumbar puncture and empirical treatment for bacterial meningitis; current practice (a low threshold to perform a lumbar puncture, and empirical treatment)",3rd generation cefalospsorin; amoxicilin; bemzylpenicilim,CA,Cost-minimization analysis,Healthcare centre's perspective,QALYs,"NA","NA",No,No,Total costs current practice €2.976; total costs decision rule €2.684,Euros (2001),Deterministic sensitivity analysis (DSA),"The decision rule reduced total costs by 292 euros per patient, 33 euros in the diagnostic phase and 259 euros in the treatment course.The application of the decision rule reduced the number of patients hospitalized.",Cost-saving,14,not specified,37
Oppong (2013),Norway and Sweden,Primary care,"Patients aged ≥18 years presenting to their GP for the first time with an acute or worsened cough as the main or dominant symptom for up to 28 days, or who had a clinical presentation suggesting lower respiratory tract infections.","Rapid test, point-of-care C-reactive protein.",Antibiotics,CEA,Hierarchical regression,Healthcare centre's perspective,"QALYs, Days free from disease, EQ-5D, symptom information (case report forms).",28 days,"NA",No,No,"€112,7 / antibiotic prescription saved",Euros (2007),Cost-effectiveness acceptability curve(s),Patients receiving POCCRP did not have significantly different measures of recovery or outcomes compared to patients not receiving this test.,"Cost-effective, reduces the rate of antibiotic prescribing.",17,regression model,38
Oppong (2018),"Belgium, United Kingdom, Netherlands, Poland and Spain",Primary care,"Patients presenting with respiratory tract infections in primary care, from Belgium, the Netherlands, Poland, Spain and the UK (England and Wales).",CRP; communication skills; CRP and communication skills combined; usual care,Antibiotics,CEA,Multilevel (regression) model,Healthcare payer's perspective,"QALYs, EQ-5D",28 days,"NA",Yes,Yes,Communication skills was associated with an ICER of €68.08 per percentage reduction in antibiotic prescribing when compared with usual care. The ICER for CRP compared with communication skills was €176.53 and the ICER for the combined intervention compared with CRP was €338.89,Euros (2016),"Deterministic sensitivity analysis (DSA), Probabilistic sensitivity analysis (PSA), Cost-effectiveness plane of PSA, Cost-effectiveness acceptability curve(s)","In terms of cost per percentage reduction in antibiotic prescribing, overall, communication skills was the most cost-effective intervention. Similarly, the CUA also showed that communication skills was the most cost-effective intervention.",Cost-effective,15,regression model,39
Ost (2003),United States,ICU,Immunocompetent patients in the intensive care unit,Empiric treatment only; quantitative nonprotected endotracheal cultures; bronchoscopy; nonbronchoscopic mini-bronchoalveolar lavage (mini-BAL),Antibiotics,CEA,Decision tree,Healthcare centre’s perspective,Hospital survival,28 days,"NA",No,Yes,No. of Initial Antibiotics: Zero: Empiric=Na; Empiric + ETT asp=72847; Empiric + mini-BAL=101479; Empiric + FOB=433261; One antibiotic: Empiric=Na; Empiric + ETT asp=20734; Empiric + mini-BAL=86184; Empiric + FOB=634288; Two antibiotics:Empiric + ETT asp=NA; Empiric + mini-BAL=4854; Empiric + FOB=819710; Empiric=dominated; Three antibiotics: Empiric + mini-BAL=NA; Empiric + ETT asp= dominated; Empiric + FOB= 1375978; Empiric= Dominated,"NA","Deterministic sensitivity analysis (DSA), Two-way sensitivity analysis graph, Three-way (or more) sensitivity analysis graph, Probabilistic sensitivity analysis (PSA)","From the perspective of minimizing cost, minimizing antibiotic use, and maximizing survival, the best strategy was three antibiotics with mini-BAL.",Cost-effective,14,decision tree model,40
Perone (2007),Switzerland,Primary care,372 patients over 15 years of age who were referred for a sore throat were included between March 1999 and September 2001 if their clinical score was between two and four points.,Rapid test systematique then antibiotic therapy if the test is positive; quick test if the score is 2 or 3 then antibiotic to patients with a positive result or a clinical basis of 4; empiric antibiotic therapy to patients with a clinical score of 3 or 4.,Ten-day penicillin.,CA,Decision tree,Healthcare centre's perspective,Rate of appropriate use of an antibiotic per patients treated,"NA","NA",No,No,$15.30 (rapid test strategy) per patient,NA,Deterministic sensitivity analysis (DSA),The results of this study is that the rapid test is a valid method for the diagnosis of GABHS. The best clinical strategy for the diagnosis and treatment of pharyngitis in adults is the rapid systematic test in patients with a clinical population greater than or equal to two.,Cost-effective,11,decision tree model,41
Pinto (2016),Brazil,Primary care,Presumptive TB patients undergoing an initial consultation,"Standard of care (presumptive TB patients undergoing an initial consultation, a chest X-ray, two SSM examinations and HIV testing, those with HIV co-infection undergo culture and DST); SSM testing of two samples was replaced by Xpert testing of one sputum sample",The WHO-recommended standard first-line drug regimen,CEA,Decision tree,National TB programmes perspective,Synthesis-based estimates,"NA",No discounting,Yes,No,$943 per additional TB diagnosis;  US$356 per additional TB diagnosis with bacteriological confirmation,US dollars (2014),"Table of DSA, Tornado diagram of DSA, Two-way sensitivity analysis graph, PSA: uncertainty ranges","Xpert is more costly than SSM, but has been shown to be more accurate, and potentially more costeffective in low and high-burden countries with high MDR-TB and HIV co-infection rates. In a setting with low MDR-TB and moderate HIV coinfection rates such as Brazil, implementation of single-sample Xpert testing replacing two-sample SSM tests would result in a modest increase (US$1.2 million per year, or 1.7% of Brazil’s NTP budget) in total health system costs for the additional TB confirmation of 3344 patients.",-,15,decision tree model,42
Pooran (2019),"South Africa, Zambia, Zimbabwe, Tanzania",Primary care,Patients with presumptive tuberculosis,Same-day smear microscopy; POC Xpert,(Unspecified) TB treatment,CEA,Trial-based,Healthcare provider's perspective,Single-study based estimates,"NA",economic: Equipment etc: 3%; health: NA,Yes,No,Incremental costs per clinical outcome: diagnosed by index test: 4186; starting treatment: 1464; starting treatment same day: 561; completing treatment: 1211; improved morbidity: 1918,US dollars (2014),"Tornado diagram of DSA, Cost-effectiveness acceptability curve(s)",Point-of-care Xpert is likely to be cost-effective in settings willing to pay at least $4500 per treatment initiation or $3800 per treatment completion among culture-positive patients,Cost-effective,14,trial-based analysis,43
Rodriguez‐Martinez (2019),Colombia,Hospital,Patients 12 months of age and younger who were admitted  for acute bronchiolitis,"“good practice”, which included adherance to diagnosis guidelines (including: hemogram, C‐reactive protein, procalcitonin, chest radiography, and tests for detection of respiratory viruses); ""bad practice""","Inhaled or nebulized beta 2 agonists, inhaled or nebulized anticholinergics, nebulized epinephrine, inhaled corticosteroids, systemic corticosteroids, antibiotics, and nebulized hypertonic saline",CEA,Decision tree,Healthcare centre's perspective,Synthesis-based estimates,1.5 years,"NA",Yes,No,"""Good practice"" was dominant","US dollars, Colombian pesos (COP) (2015)","Deterministic sensitivity analysis (DSA), Tornado diagram of DSA","Compared with lack of “good practice,” the utilization of “good practice” in the diagnosis and management of patients with bronchiolitis was associated with both fewer patients readmitted within 10 days of post discharge (0.88 vs 0.99 on average per patient) and lower costs (US$1529.3 versus $1709.1 average cost perpatient), thus leading to dominance",Cost-effective,14,decision tree model,44
Rothberg (2003) - 1,USA,Physician's office,"Unvaccinated, healthy, working adults aged 20-50, presenting with influenza-like illness during the influenza season",No diagnostic test; Directigen (influenza A/B); FLU OIA; QuickVue; ZstatFlu,Amantadine; rimantadine; oseltamivir; zanmivir; azithromicin; amoxicillin,CUA,Decision tree,Societal perspective,Synthesis-based estimates,5 days,"NA",No,No,All testing strategies are dominated by empiric treatment with amantadine,US dollars (2001),DSA,The economic impact alone validates the use of antiviral therapy in healthy adults with influenza-like illness. The small benefit of shortening symptoms by an average of 1 day is by no means trivial.,"Cost-saving, Cost-effective",15,decision tree model,45
Rothberg (2003) - 2,USA,Primary care,"Persons aged >65 years, presenting with influenza symptoms during the influenza season",Current care; Quickvue,Amantadine; zanamivir; oseltamivir; rimantidine,CUA,Decision tree,Societal perspective,Synthesis-based estimates,Lifetime horizon,"NA",Yes,No,"Amantadine treatment only: $1129/QALY; test-treat oseltamivir: $5025/QALY, empiric oseltamivir: $10,296/QALY, other test-treat combinations (extended) dominated",US dollars (2001),"Sensitivity analysis graph (with one parameter varied), Two-way sensitivity analysis graph, PSA","Under most circumstances, antiviral therapy is reasonably cost-effective and within the range of other widely accepted interventions for older adults. The optimal strategy, however, depends on the patient’s vaccination status, the probability that he or she has influenza, and the risk for hospitalization",Cost-effective,14,decision tree model,46
Rothberg (2005),USA,Primary care,"Healthy children at ages 2, 7 and 15 years",Quickvue; ZstatFlu,Amantadine; oseltamivir; amoxicillin,CEA,Decision tree,Societal perspective,Synthesis-based estimates,Lifetime horizon,"NA",Yes,No,Antiviral therapy: $800 - $1800/QALY; testing stategies were dominated in most scenarios,US dollars (2003),"Sensitivity analysis graph (with one parameter varied), PSA","During local influenza outbreaks, children with symptoms of ILI benefit from antiviral therapy if it is initiated within 48 hours of symptom onset. At the same time, antiviral therapy saves money if parents return to work sooner. In that case, there is no trade-off between cost and effectiveness.",Testing not cost-effective - empirical treatment is cost-effective,14,decision tree model,47
Schuetz (2015),USA,Hospital,The patient population in this study is patients with suspected ARIinfection diagnoses seen in one of three settings: inpatient hospitalsetting (not in the intensive care unit - ICU); hospital ICU; outpatient clinic or emergency department (ED) based on the meta-analysis data,PCT testing and monitoring; usual care,"Typical dosages and mix of expected therapy were derived frompublished clinical treatment guidelines (many references, but nothing explicit)",CA,Decision tree,Healthcare payer's perspective,"NA",30 days,"NA",No,Yes,"The costs of PCT-guided care for the one million member cohort was $2,083,545, compared to $2,780,332 for the usual care group, resulting in net savings of nearly $700,000 costs or savings /patient",US dollars (2014),"Deterministic sensitivity analysis (DSA), Sensitivity analysis graph (with one parameter varied)","The results show substantial savings associated with the use of PCT to guide antibiotic treatment of ARI in common US treatment settings. Across all three settings PCT-guided care is associated with net savings ranging from $73,326 in the ICU to  > $5 million in the outpatient clinic and ED setting, for total savings to the IDN of more than $6 million.",Cost-saving,14,decision tree model,48
Schwarzinger (2003),USA,Primary care (not stated specifically),Healthy working adults younger than 65 years of age who consult within 2 days of the onset of influenza-like symptoms,No zanamivir; test with zanamivir; systematic zanamivir,Nanamivir; (unspecified) antibiotics,CBA,Decision tree,Societal perspective,Synthesis-based estimates,Duration of influenza-like illness,"NA",No,No,test: $-14.40 for 0.65 averted influenza days; empiric treatment: $-29.80 for 0.81 averted influenza day (1),US dollars (1999),"Table of DSA, Sensitivity analysis graph (with one parameter varied)","During influenza epidemics, when unvaccinated healthy working adults consult within 2 days of the onset of influenza-like symptoms, systematic zanamivir prescription without rapid influenza test is a dominant strategy from a societal perspective.",Cost-saving,16,decision tree model,49
Shah (2013),Uganda,"Primary care, Hospital",HIV-infected individuals presenting with signs/symptoms of active TB disease,ZN smear-microscopy testing of two sputa; same as 1 plus one urine sample for point-of-care LF-LAM testing; Xpert on one sputum (rifampin resistance is confirmed with conventional culture and DST for all patients); same as 3 plus one urine sample for point-of-care LF-LAM testing,TB treatment; TB treatment category 2; MDR-TB treatment; Annual HIV care costs,CEA,Decision tree,Healthcare payer's perspective,Single-study based estimates,Lifetime horizon,3%,No,No,ZN microscopy + urine sample testing: $33/DALY; Xpert on one sputum: $58/DALY; Xpert on one sputum + urine sample testing: $57/DALY (ZN microscopy as reference),US dollars (2013),"Sensitivity analysis graph (with one parameter varied), CEAC","Compared with an algorithm of Xpert testing alone, the combination of Xpert with LFLAM was considered highly cost-effective. Addition of urine LF-LAM testing to smear-microscopy was a less effective strategy than Xpert replacement of smear-microscopy, but was less costly and also considered highly cost-effective compared with continued usage of smear-microscopy alone.",Cost-effective,16,decision tree model,50
Shen (2016),China,Primary care,"Children aged 18 years or below with ILI, had symptoms and signs compatible with influenza.",No antiviral therapy; 2: post influenza RDT treatment; 3: empiric treatment,Oseltamivir,CEA,Decision tree,Healthcare payer's perspective,Synthesis-based estimates,"NA","NA",No,No,"32,810/QALY",Chinese yuan (no year),"Tornado diagram of DSA, cost-effectiveness plane",The empiric oseltamivir treatment of children who are suspected to have influenza illness may be a dominant or a very cost-effective treatment strategy in comparison against post RIDT treatment with oseltamivir and no antiviral therapy.,Not cost-effective,13,decision tree model,51
Siddiqui (2008),UK,Primary care,Patients presenting with ILI,Do not treat with antiviral drugs; treat all patients with antiviral drugs; test then treat those who test positive,Oseltamivir,CEA,Decision tree,Healthcare payer's perspective,Synthesis-based estimates,"NA",3.5000000000000003E-2,Yes,No,For stockpiling: ₤1900 and ₤13700/QALY for the 1918 and 1957/69 scenarios; test-treat ₤31000 and ₤228000/QALY,Pound Sterling (2004),"Tornado diagram of DSA, Sensitivity analysis graph (with one parameter varied), cost-effectiveness plane",Near-patient testing is unlikely to be a cost-effective approach to conserving AV stocks but might be considered early in a pandemic. A more cost-effectivestrategy would be to increase the stockpile of AV drugs.,Not cost-effective,14,decision tree model,52
Smith (2002),USA,"NA",32-year old patients with typical influenza symptoms and a temperature 37.8°C during an influenza season. Other age categories in sensitivity analysis.,No antiviral testing or treatment; oseltamivir/zanamivir treatment without testing; empiric rimantadine; empiric amantadine; test-treat oseltamivir/zanamivir; 6: test-treat rimantadine; 7: test-treat amantadine,Oseltamavir; zanamivir; rimantadine; amantadine,CEA,Decision tree,"Societal perspective, Healthcare payer's perspective",Synthesis-based estimates,Single episode of illness,"NA",Yes,No,Empiric amantadine: $9.06 per illness day avoided; empiric oseltamivir: $198 per illness day avoided; other strategies (extended) dominated,US dollars (2000),"Tornado diagram of DSA, CEAC","Amantadine, zanamivir, and oseltamivir cost about $250 or less per quality-adjusted day gained or illness day avoided for patients with fever and typical influenza symptoms. Rapid testing was, forthe most part, more costly and less effective than treatment without testing.","""Economically reasonable""",12,decision tree model,53
Sohn (2019),India,District TB and microscopy center,Patients presenting to care for TB diagnosis,Centralized Xpert; decentralized Xpert,Unspecified treatment for sensitive and resistant TB,CEA,Individual-contact model / agent-based model,Healtcare system perspective,Synthesis-based estimates,10 years,3%,Yes,Yes,3161 /DALY,US dollars (2015),"Sensitivity analysis graph (with one parameter varied), Cost-effectiveness acceptability curve(s)","Provided that decentralized testing can be performed with equal quality as centralized testing, the costs and LTFU incurred by using a hub-and-spoke system are likely to justify the increased costs of decentralized testing, except in settings where testing volumes is low.",Not clear,16,individual-level model,54
Stankiewicz (2003),USA,Primary care,One hundred patient were evaluated for criteria meeting the subjective diagnostic criteria for chronic rhinosinusitis as developed by the Task Force for Acute and Chronic Rhinosinusitis,Subjective-based diagnosis; diagnosed with a screening CT scan.,Amoxicillin or cefuroxime.,CA,Individual sampling model,Healthcare centre's perspective,Costs saved,"NA","NA",No,No,147 per patient,"NA","NA","With screening CT scanning, patients are diagnosed more accurately, according to whether they have disease or not. This is important because the current subjective method of diagnosis of chronic rhinosinusitis is inaccurate.",Cost-saving,10,trial-based analysis,55
Stojanovic (2017),China,"Primary care, Emergency department, Hospital",Patients with suspected ARI infection diagnoses seen in one of three settings (subgroups): (1) inpatient hospital setting (not in the ICU); (2) hospital ICU; (3) outpatient clinic or emergency department (ED).,Usual care; PCT testing and monitoring,Antibiotic days (ABs),BIA,Decision tree,Healthcare centre's perspective,Reduction in antibiotic days,30 days,"NA",No,Yes,"In the inpatient setting, the costs of PCT-guided care compared to usual care resulted in net savings of 721,563 CNY Chinese hospital system; In the ICU and outpatient settings, savings were 250,699 CNY and 2.4 million CNY, respectively. The overall annual net savings of PCT-guided care was nearly 3.4 million CNY",Chinese yuan (2015),Deterministic sensitivity analysis (DSA),Our results demonstrate substantial savings associated with the use of PCT to guide antibiotic treatment of ARI across common China treatment settings.,Cost-saving,17,decision tree model,56
Suen (2015),India,Public sector clinics and private clinics,"Individuals are followed from birth to death, TB suspects for TB diagnosis",current standard of care; Xpert for DST; Xpert for initial diagnoses and DST in public clinics; PPM; PPM combined with GeneXpert for DST; PPM combined with GeneXpert for initial diagnoses and DST in public clinics,"Various treatment courses (categories 1,2 and 4)",CEA,Dynamic transmission microsimulation model,Societal perspective,Synthesis-based estimates,Lifetime horizon,0.03,Yes,Yes,PPM: $72/QALY; PPM + Xpert: 145/QALY; PPM + Xpert in public clinics: 1104/QALY (others dominated),US dollars (2013),"CEAC, partly PSA (on the simultaneous effect of uncertainty about the quality of life lost due to TB and the costs of care)","Our results illustrate that there is no silver bullet for combating the TB epidemic -- introducing rapid and accurate diagnostic systems, either for initial diagnosis or DST, will have limited ability to control the epidemic and, in a context where PPM is available, is not cost-effective if implemented without substantial effort to bring the fragmented public and private treatment systems together.",Cost-effective,16,individual-level model,57
Takwoingi (2019),United Kingdom,Hospital,Adults presenting with suspected active TB,"QFT-GIT; TSPOT.TB; reference standard (minimum set of tests defined by the NICE guideline, verified by a panel of blinded clinicians)","Rifampicin, isoniazid, pyrazinamide, ethambutol hydrochloride",CUA,Decision tree,Healthcare payer's perspective,Synthesis-based estimates,60 days,"NA",Yes,No,Varying from 6640 to 22010 /QALY,Not reported,"Cost-effectiveness plane of PSA, Cost-effectiveness acceptability curve(s)","The use of current IGRA tests for ruling out active TB would be unlikely to be considered cost-effective if a QALY were to be valued at £20,000 or £30,000. There are cost savings, but the health detriment is large because of the delay in diagnosing active TB.",Not cost-effective,16,decision tree model,58
Tillekeratne (2019),Sri Lanka,Emergency department,ILI patients,Influenza clinical prediction tool; targeted rapid influenza testing; universal rapid influenza testing,Amoxicillin; oseltamivir,CEA,Decision tree,Societal perspective,Synthesis-based estimates,An ILI treatment episode,"NA",Yes,Yes,"The incremental cost per antibiotic prescription avoided with clinical prediction versus standard care was US$3.0, which was lower than the base-case estimate of the cost of antimicrobial resistance per ILI antibiotic prescription (US$12.5)",US dollars (2014),"Deterministic sensitivity analysis (DSA), Probabilistic sensitivity analysis (PSA)","Standard care was less expensive than other strategies across all parameter values in one-way sensitivity analyses. To obtain a cost-effectiveness ratio lower than US$12.5 with targeted testing versus standard care, the test price must be <US$2.6. At a higher threshold of US$28.7, the test price must be <US$7.7.",Cost-saving,16,decision tree model,59
Van Howe (2006),USA,Primary care,Children and adolescents presenting with pharyngitis.,Observe without testing or treatment; treat all suspected cases with antibiotics; treat those with positive throat cultures; treat those with positive rapid tests; treat those with positive rapid tests and those with positive throat cultures after negative rapid tests; use a clinical scoring measure to determine the diagnosis/treatment strategy.,Penicillin; cephalosporin.,CUA,Decision tree,Societal perspective,QALD—quality-adjusted life-day,"NA",0.03,Yes,No,"$32,132.01 rapid antigen testing had the best cost-utility. It dominated both ""treat all"" and ""rapid test + culture"" strategies",US dollars (2003),"Table of DSA, Tornado diagram of DSA, Probabilistic sensitivity analysis (PSA)","When the cost of a culture is low, in comparison with a paid test, culturing samples for all children may be the best option. As the cost of throat cultures increase, relative to the price of a rapid test, the rapid test becomes the better option.",Cost-effective,15,decision tree model,60
Van Rie (2013),South Africa,Primary care,"individuals with prolonged (>2 weeks) cough and/or other TB symptoms, presenting at a primary care clinic",Smear plus culture; Xpert,Not specified,Cost Analysis,Standard descriptive statistics,Not specified,Single-study based estimates,"NA",economic: 5% (capital goods); health: NA,No,No,Cost savings of $3.28 per valid Xpert result,US dollars (2010),-,"The cost per Xpert was only US$1.88 higher than the cost for smear microscopy and culture, and US$14.05 higher than smear microscopy only. Due to the low error rate, the cost per valid Xpert result was US$3.28 lower than the cost per valid smear microscopy plus culture result. The cost per case diagnosed was similar for both strategies (US$266 vs. US$260).",Cost-saving,14,trial-based analysis,61
Vassall (2011),"India, South Africa, Uganda","NA",Individuals suspected of having TB,"Two sputum microscopy, followed by clinical diagnosis that might include chest Xray and antibiotic trial; Xpert after two negative smear examinationss; Xpert instead of smear examination","Specified treatment protocol of TB treatment, also including what to to if resistance is found",CEA,Decision tree,Healthcare payer's perspective,Synthesis-based estimates,"NA",economic: 3%; health: NA,Yes,Yes,"Xpert after two negative smear examinations: India: $55/DALY, South Africa: $110/DALY, Uganda: $41/DALY; Xpert instead of smear examination: India: $68/DALY, South Africa: $138/DALY, Uganda: $37/DALY",US dollars (2010),"Table of DSA, Sensitivity analysis graph (with one parameter varied), Three-way  sensitivity analysis graph, CEAC",Our results suggest that Xpert is likely to be more cost-effective than a base case of smear microscopy and clinical diagnosis of smear-negative TB.,Cost-effective,16,decision tree model,62
Walusimbi (2016),Uganda,Primary care,"The study population comprised adult HIV-infected patients older than 18 years, with presumptive active pulmonary TB",Microscopic observation drug susceptibility (MODS) assay; Xpert MTB/Rif test.,Not specified,CEA,Decision tree,Healthcare centre's perspective,Synthesis-based estimates,"NA",economic: 3%; health: NA,No,No,MODS: $34 per TB patient diagnosed; Xpert: $71 per TB patient diagnosed,US dollars (2014),"Table of DSA, Tornado diagram of DSA","The algorithm using MODS was more cost-effective compared to the algorithm using Xpert for a wide range of different values of accuracy, cost and TB prevalence. The cost (threshold value), where the algorithm using Xpert was optimal over the algorithm using MODS was $5.92",Cost-effective,16,decision tree model,63
Wang (2019),China,Hospital,Pulmonary and extrapulmonary TB suspect patients,Single vs. repeated Xpert assay,NA,CEA,Trial-based (no model),NA,Single-study based estimates,"NA","NA",No,Yes,Pulmonary: 467.72; extrapulmonary: 291.87 per additional TB diagnosis,Not reported,NA,The cost-effectiveness analysis showed that the incremental cost of performing a second Xpert was very high for the smear-positive TB patients,Not cost-effective,12,trial-based analysis,64
Wikman (2017),Mozambique,Primary care,TB suspects,"Sputum smear microscopy (SM, base case); Xpert replacing SM; Xpert after smear-negative SM; microscopic observation drug-susceptibility (MODS) as a replacement; MODS as an add-on for smear-negative SM",Non-specified TB therapy,CUA,Markov (compartimental) model,Healthcare provider's perspective,Synthesis-based estimates,90 years,3%,Yes,No,SM + MODS: $5648/DALY;  MODS: $5375/DALY; SM + Xpert: $346/DALY; Xpert: $122/DALY,US dollars (2013),"Tornado diagram of DSA, Probabilistic sensitivity analysis (PSA), CE plane","Our results suggest that in this rural African setting substituting SM by Xpert MTB/RIF would be the most cost-effective strategy compared to its implementation as an add-on strategy or MODS implementation. However, the degree of uncertainty is high.",Cost-effective,15,markov model,65
Xie (2017),Canada,Hospital,Hospitalized community acquired pneumoniae,BinaxNow-SP and culture; culture alone,Ceftriaxone plus azithromycin for empirical treatment; penicillin G for tretment of SP,CEA,Decision tree,Healthcare centre’s perspective,Case correctly classified,3 days,"NA",Yes,No,Incremental cost per patient 36 dollars. Incremental costs per case correctly classified 582 dollars,Canadian dollars (year unknown),Deterministic sensitivity analysis (DSA),An overall increase in diagnostic accuracy of 6.2% due to the addition of BinaxNOW‐SP.,Cost-effective,13,decision tree model,66
Yakhelef (2014),Kenya,Hospital,Patients with a cough of at least 2 weeks and two negative smears,"Conventional diagnostic algorithm (based on clinical findings, radiological features and an antibiotic trial); culture-based algorithm that uses TLA and LJ cultures in addition to the conventional algorithm",Non-specified TB therapy,CEA,No model,Healthcare centre's perspective,Single-study based estimates,"NA","NA",No,No,Varying between €452-€3121 per case depending on exact algoritm used,Euros (2009),DSA,"Using TLA/LJ in addition to the conventional algorithm made it more expensive, although its cost-effectiveness would improve if the number of screened patients increased. The decision to adopt rapid culture for TB epends on the government/community’s willingness to pay for it.",culture-based algorithm may be hard to afford for resource-limited countries,15,not specified,67
You (2012),China (Hong Kong),Hospital,"Adult patients hospitalized for severe respiratory infection, suspected of influenza","Immunofluorescence assay; PCR testing; empirical antiviral treatment plus PCR, to later continue or discontinue treatment based on test result; empirical antiviral treatment",Oseltamivir,CEA,Decision tree,Healthcare provider,Synthesis-based estimates,Lifetime horizon,0.03,Yes,No,Empirical treatment dominates testing,US dollars (2011),"Two-way sensitivity analysis graph, CEAC","In a season when the ‘seasonal influenza’ virus strains are predominant, ‘‘empirical antiviral treatment alone’’ would be a cost-effective option at influenza prevalence levels of 2.5% or above, whereas the ‘PCR guided treatment’ approach would be cost-effective at a low prevalence of less than 2.5%.",Not cost-effective,16,decision tree model,68
You (2015),Hong Kong (China),Hospital,Patients hospitalized for suspected active pulmonary TB,Conventional approach; smear plus Xpert (for smear-negative); Xpert,Early treatment; late treatment; both split up in first- and second line (based on whether or not multi-drug resistant),CEA,Decision tree,Healthcare provider's perspective,Both single- and synthesis-based(for different diagnostic strategies),Not stated (appears to be 1 year),economic: 3%; health: NA,Yes,No,$99/QALY,US dollars (2014),"Sensitivity analysis graph (with one parameter varied), CEAC",Using a simple sputum test of Xpert at inital assessment was the most cost-effective option,Cost-effective,12,decision tree model,69
You (2017),China (Hong Kong),Primary care,Elderly patients with ILI,Clinical judgement without testing; rapid molecular POCT,Oseltamivir,CEA,Decision tree,Healthcare provider,Synthesis-based estimates,Lifetime horizon,economic: NA; health: 3%,Yes,No,$29582/QALY,US dollars (2017),"Table of DSA, Tornado diagram of DSA, cost-effectiveness plane, CEAC","The expected ICER of POCT-PCR is SD29,582, lower than 1x GDP per capita of Hong Kong (USD43,497). The base-case ICER is therefore highly cost-effective from the perspective of healthcare provider in Hong Kong.",Cost-effective,15,decision tree model,70
